,dataset,k,model,sct_method,W,cutoff,proved_exact,h_tot,regions,h_regions,del_e,time
0,USA_ecoregions,5,mdd,full_order_CL,5,60,current-best,45.20325026,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22, 26, 28, 29, 30, 39, 40, 44, 46, 48, 56, 73, 74, 86, 94, 100], [128, 130, 134, 135, 16, 18, 20, 23, 24, 27, 157, 160, 33, 35, 36, 37, 38, 41, 43, 45, 49, 50, 51, 52, 53, 57, 58, 60, 61, 63, 65, 66, 69, 70, 72, 75, 76, 78, 79, 85, 89, 90, 91, 93, 96, 103, 105, 112, 113, 117, 119, 125, 126], [129, 132, 136, 137, 139, 140, 147, 149, 151, 25, 154, 155, 156, 158, 159, 34, 163, 165, 166, 167, 169, 170, 171, 54, 59, 64, 77, 81, 82, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [131, 133, 138, 141, 142, 143, 144, 145, 146, 148, 150, 152, 153, 161, 162, 164, 168, 47, 55, 62, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127]]","[8.683158057136747, 16.099632071374092, 12.259992845470412, 1.6292132051981156, 6.531254094719505]","[(103, 107), (91, 138), (48, 63), (108, 117)]",121.34460473060608
1,USA_ecoregions,5,mdd,full_order_CL,20,60,current-best,45.20325026,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22, 26, 28, 29, 30, 39, 40, 44, 46, 48, 56, 73, 74, 86, 94, 100], [128, 130, 134, 135, 16, 18, 20, 23, 24, 27, 157, 160, 33, 35, 36, 37, 38, 41, 43, 45, 49, 50, 51, 52, 53, 57, 58, 60, 61, 63, 65, 66, 69, 70, 72, 75, 76, 78, 79, 85, 89, 90, 91, 93, 96, 103, 105, 112, 113, 117, 119, 125, 126], [129, 132, 136, 137, 139, 140, 147, 149, 151, 25, 154, 155, 156, 158, 159, 34, 163, 165, 166, 167, 169, 170, 171, 54, 59, 64, 77, 81, 82, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [131, 133, 138, 141, 142, 143, 144, 145, 146, 148, 150, 152, 153, 161, 162, 164, 168, 47, 55, 62, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127]]","[8.683158057136747, 16.099632071374092, 12.259992845470412, 1.6292132051981156, 6.531254094719505]","[(103, 107), (91, 138), (48, 63), (108, 117)]",110.65177226066591
2,USA_ecoregions,10,mdd,full_order_CL,5,60,current-best,31.11626023,"[[0, 1, 2, 3, 4, 5, 7, 40, 9, 10, 8, 13, 17], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [11, 12, 14, 15, 16, 18, 19, 21, 22, 23, 26, 29, 30, 48, 50, 52, 58, 63, 69, 85, 90], [128, 130, 20, 24, 27, 33, 41, 43, 51, 53, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 91, 103, 105, 125, 126], [129, 132, 137, 139, 140, 147, 149, 25, 154, 155, 156, 158, 159, 34, 165, 166, 167, 54, 59, 64, 77, 81, 82, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 138, 141, 142, 143, 144, 145, 146, 148, 150, 152, 153, 161, 162, 164, 168, 47, 55, 62, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127], [96, 160, 134, 135, 112, 113, 117, 119, 157], [163, 136, 169, 170, 171, 151]]","[1.8083239386662697, 1.668532253014729, 3.8420872506664763, 3.609482848169388, 9.145404339476173, 1.6292132051981156, 1.0997325663472353, 6.531254094719505, 1.3520977147095243, 0.4301320288337964]","[(10, 28), (91, 138), (103, 107), (18, 20), (108, 117), (33, 49), (147, 151), (35, 96), (11, 39)]",62.934115409851074
3,USA_ecoregions,10,mdd,full_order_CL,20,60,current-best,31.11626023,"[[0, 1, 2, 3, 4, 5, 7, 40, 9, 10, 8, 13, 17], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [11, 12, 14, 15, 16, 18, 19, 21, 22, 23, 26, 29, 30, 48, 50, 52, 58, 63, 69, 85, 90], [128, 130, 20, 24, 27, 33, 41, 43, 51, 53, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 91, 103, 105, 125, 126], [129, 132, 137, 139, 140, 147, 149, 25, 154, 155, 156, 158, 159, 34, 165, 166, 167, 54, 59, 64, 77, 81, 82, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 138, 141, 142, 143, 144, 145, 146, 148, 150, 152, 153, 161, 162, 164, 168, 47, 55, 62, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127], [96, 160, 134, 135, 112, 113, 117, 119, 157], [163, 136, 169, 170, 171, 151]]","[1.8083239386662697, 1.668532253014729, 3.8420872506664763, 3.609482848169388, 9.145404339476173, 1.6292132051981156, 1.0997325663472353, 6.531254094719505, 1.3520977147095243, 0.4301320288337964]","[(103, 107), (91, 138), (18, 20), (108, 117), (11, 39), (33, 49), (35, 96), (147, 151), (10, 28)]",61.85441422462464
4,USA_ecoregions,15,mdd,full_order_CL,5,60,current-best,22.53333322,"[[0, 1, 2, 3, 4, 5, 7, 40, 9, 10, 8, 13, 17], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [69, 90, 11, 48, 16, 50, 18, 52, 21, 85, 23, 20, 53, 58, 30, 63], [12, 14, 15, 19, 22, 26, 29], [128, 130, 24, 27, 33, 41, 43, 51, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 91, 105, 125, 126], [129, 132, 137, 140, 147, 25, 154, 155, 34, 165, 167, 54, 59, 64, 77, 81, 84, 98, 103, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 138, 141, 142, 143, 144, 146, 148, 150, 152, 153, 47, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127], [62, 55], [166, 139, 82, 149, 156, 158], [96, 160, 134, 135, 112, 113, 117, 119, 157], [163, 136, 169, 170, 171, 151], [161, 162, 164, 168, 145], [159]]","[1.8083239386662697, 1.668532253014729, 1.7718661176303616, 0.36907246526025766, 2.724674858999832, 5.007328622013961, 1.6292132051981156, 1.0997325663472353, 3.3620397325627396, 0.05217241376727402, 0.8998139834201972, 1.3520977147095243, 0.4301320288337964, 0.35833332753469016, 0.0]","[(91, 103), (108, 117), (53, 57), (91, 138), (11, 39), (33, 49), (35, 96), (147, 151), (10, 28), (15, 48), (111, 158), (82, 159), (47, 55), (152, 161)]",62.899080991745
5,USA_ecoregions,15,mdd,full_order_CL,20,60,current-best,22.38953604,"[[0, 1, 2, 3, 4, 5, 7, 40, 9, 10, 8, 13, 17], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [69, 90, 11, 48, 16, 50, 18, 52, 21, 85, 23, 20, 58, 30, 63], [12, 14, 15, 19, 22, 26, 29], [128, 130, 24, 27, 33, 41, 43, 51, 53, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 91, 103, 105, 125, 126], [129, 132, 137, 140, 25, 154, 155, 34, 54, 59, 64, 77, 81, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 138, 141, 142, 143, 144, 146, 148, 150, 152, 153, 47, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127], [62, 55], [166, 139, 82, 149, 156, 158], [96, 160, 134, 135, 112, 113, 117, 119, 157], [163, 165, 167, 136, 169, 170, 171, 147, 151], [161, 162, 164, 168, 145], [159]]","[1.8083239386662697, 1.668532253014729, 1.625604845423257, 0.36907246526025766, 3.3439797017443587, 3.054062676677036, 1.6292132051981156, 1.0997325663472353, 3.3620397325627396, 0.05217241376727402, 0.8998139834201972, 1.3520977147095243, 1.7665572203384095, 0.35833332753469016, 0.0]","[(111, 158), (20, 53), (103, 107), (91, 138), (108, 117), (11, 39), (140, 147), (33, 49), (35, 96), (10, 28), (82, 159), (15, 48), (47, 55), (152, 161)]",61.22227764129639
6,USA_ecoregions,20,mdd,full_order_CL,5,60,current-best,18.20162289,"[[0, 1, 2, 3, 4, 5], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [7, 40, 9, 10, 8, 13, 17], [69, 90, 11, 48, 16, 50, 18, 52, 21, 85, 23, 20, 53, 58, 30, 63], [12, 14, 15, 19, 22, 26, 29], [128, 130, 24, 27, 33, 41, 43, 51, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 105, 125, 126], [64, 121, 34, 98, 132, 129, 59, 137, 140, 77, 110, 111, 155, 81, 84, 54, 120, 25, 154, 123], [32, 42, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 143, 153, 47, 67, 68, 71, 80, 83, 88, 95, 101, 102, 104, 106, 109, 114, 115, 116, 122, 124], [62, 55], [166, 139, 82, 149, 156, 158], [99, 108, 87], [97, 138, 141, 142, 144, 146, 148, 118, 150, 152, 91, 92, 127], [96, 160, 134, 135, 112, 113, 117, 119, 157], [107, 103], [163, 136, 169, 170, 171, 151], [161, 162, 164, 168, 145], [147, 165, 167], [159]]","[0.3673650412912825, 1.668532253014729, 0.6652395088088341, 1.7718661176303616, 0.36907246526025766, 2.5299873728038884, 2.721239102845279, 0.4169282845211656, 1.0997325663472353, 1.903783710973567, 0.05217241376727402, 0.8998139834201972, 0.48272962174651224, 0.7618173945354233, 1.3520977147095243, 0.06954606425205725, 0.4301320288337964, 0.35833332753469016, 0.2812339327077611, 0.0]","[(91, 103), (15, 48), (78, 91), (11, 39), (108, 117), (53, 57), (33, 49), (147, 151), (35, 96), (10, 28), (111, 158), (152, 161), (82, 159), (140, 147), (47, 55), (133, 150), (107, 132), (31, 87), (5, 7)]",62.25333285331726
7,USA_ecoregions,20,mdd,full_order_CL,20,60,current-best,18.21399591,"[[0, 1, 2, 3, 4, 5], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [7, 40, 9, 10, 8, 13, 17], [69, 90, 11, 48, 16, 50, 18, 52, 21, 85, 23, 20, 53, 58, 30, 63], [12, 14, 15, 19, 22, 26, 29], [128, 130, 24, 27, 33, 41, 43, 51, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 91, 105, 125, 126], [64, 121, 34, 98, 132, 129, 59, 137, 140, 77, 110, 111, 155, 81, 84, 54, 120, 25, 154, 123], [32, 42, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 143, 153, 47, 67, 68, 71, 80, 83, 88, 95, 101, 102, 104, 106, 109, 114, 115, 116, 122, 124], [62, 55], [166, 139, 82, 149, 156, 158], [99, 108, 87], [97, 138, 141, 142, 144, 146, 148, 118, 150, 152, 92, 127], [96, 160, 134, 135, 112, 113, 117, 119, 157], [107, 103], [163, 136, 169, 170, 171, 151], [161, 162, 164, 168, 145], [147, 165, 167], [159]]","[0.3673650412912825, 1.668532253014729, 0.6652395088088341, 1.7718661176303616, 0.36907246526025766, 2.724674858999832, 2.721239102845279, 0.4169282845211656, 1.0997325663472353, 1.903783710973567, 0.05217241376727402, 0.8998139834201972, 0.48272962174651224, 0.579502907173419, 1.3520977147095243, 0.06954606425205725, 0.4301320288337964, 0.35833332753469016, 0.2812339327077611, 0.0]","[(11, 39), (91, 103), (91, 138), (53, 57), (108, 117), (33, 49), (35, 96), (147, 151), (10, 28), (15, 48), (111, 158), (82, 159), (47, 55), (133, 150), (140, 147), (152, 161), (31, 87), (107, 132), (5, 7)]",61.19015097618103
8,USA_ecoregions,5,mdd,full_order_CL,20,120,current-best,45.20325026,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 21, 22, 26, 28, 29, 30, 39, 40, 44, 46, 48, 56, 73, 74, 86, 94, 100], [128, 130, 134, 135, 16, 18, 20, 23, 24, 27, 157, 160, 33, 35, 36, 37, 38, 41, 43, 45, 49, 50, 51, 52, 53, 57, 58, 60, 61, 63, 65, 66, 69, 70, 72, 75, 76, 78, 79, 85, 89, 90, 91, 93, 96, 103, 105, 112, 113, 117, 119, 125, 126], [129, 132, 136, 137, 139, 140, 147, 149, 151, 25, 154, 155, 156, 158, 159, 34, 163, 165, 166, 167, 169, 170, 171, 54, 59, 64, 77, 81, 82, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [131, 133, 138, 141, 142, 143, 144, 145, 146, 148, 150, 152, 153, 161, 162, 164, 168, 47, 55, 62, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127]]","[8.683158057136747, 16.099632071374092, 12.259992845470412, 1.6292132051981156, 6.531254094719505]","[(103, 107), (91, 138), (48, 63), (108, 117)]",228.1308298110962
9,USA_ecoregions,10,mdd,full_order_CL,20,120,current-best,31.11626023,"[[0, 1, 2, 3, 4, 5, 7, 40, 9, 10, 8, 13, 17], [100, 6, 39, 73, 74, 44, 46, 86, 56, 28, 94], [11, 12, 14, 15, 16, 18, 19, 21, 22, 23, 26, 29, 30, 48, 50, 52, 58, 63, 69, 85, 90], [128, 130, 20, 24, 27, 33, 41, 43, 51, 53, 57, 61, 65, 66, 70, 72, 75, 76, 78, 79, 89, 91, 103, 105, 125, 126], [129, 132, 137, 139, 140, 147, 149, 25, 154, 155, 156, 158, 159, 34, 165, 166, 167, 54, 59, 64, 77, 81, 82, 84, 98, 107, 110, 111, 120, 121, 123], [32, 99, 42, 108, 87, 31], [35, 36, 37, 38, 45, 49, 60, 93], [131, 133, 138, 141, 142, 143, 144, 145, 146, 148, 150, 152, 153, 161, 162, 164, 168, 47, 55, 62, 67, 68, 71, 80, 83, 88, 92, 95, 97, 101, 102, 104, 106, 109, 114, 115, 116, 118, 122, 124, 127], [96, 160, 134, 135, 112, 113, 117, 119, 157], [163, 136, 169, 170, 171, 151]]","[1.8083239386662697, 1.668532253014729, 3.8420872506664763, 3.609482848169388, 9.145404339476173, 1.6292132051981156, 1.0997325663472353, 6.531254094719505, 1.3520977147095243, 0.4301320288337964]","[(10, 28), (103, 107), (91, 138), (18, 20), (108, 117), (33, 49), (35, 96), (11, 39), (147, 151)]",123.99162411689758
